GO	description	category	ERR1809119	ERR1809120	ERR1809121	ERR1809122	ERR1809123	ERR1809124	ERR1809125	ERR1809127	ERR1809128	ERR1809129	ERR1809130	ERR1809131	ERR1809132	ERR1809133	ERR1809134	ERR1809135	ERR1809136	ERR1809137	ERR1809138	ERR1809139	ERR1809140	ERR1809141	ERR1809142	ERR1809143	ERR1809144	ERR1809145	ERR1809146	ERR1809147	ERR1809148	ERR1809149	ERR1809150	ERR1809151	ERR1809152	ERR1809153	ERR1809154	ERR1809155	ERR1809156
GO:0000001	mitochondrion inheritance	biological process	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000015	phosphopyruvate hydratase complex	cellular component	32	27	31	27	33	10	11	0	35	31	37	39	28	30	21	29	34	19	15	14	14	14	23	14	22	10	25	2	10	13	1	27	12	10	12	3	5
GO:0000030	mannosyltransferase activity	molecular function	9	7	9	15	14	3	1	0	4	5	2	2	5	1	2	5	1	1	1	1	3	8	11	5	8	11	7	3	0	2	0	1	1	1	1	9	0
GO:0000041	transition metal ion transport	biological process	25	19	24	16	21	6	11	0	15	14	16	17	16	9	4	11	9	9	7	9	5	15	10	10	13	5	5	2	8	4	2	38	34	1	12	4	3
GO:0000042	protein targeting to Golgi	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000049	tRNA binding	molecular function	1436	1414	1447	1417	1489	321	354	1	1496	1396	1598	1486	1276	1570	1437	1678	1587	1052	413	435	321	529	528	542	514	468	507	75	420	270	86	506	413	420	137	144	161
GO:0000062	fatty-acyl-CoA binding	molecular function	16	18	14	6	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000104	succinate dehydrogenase activity	molecular function	10	5	7	9	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000105	histidine biosynthetic process	biological process	1731	1630	1868	1786	1791	411	552	1	2085	2099	2269	2119	1855	2002	1916	2131	2083	1270	641	610	481	785	736	713	826	415	447	69	567	385	168	344	331	437	181	277	262
GO:0000123	histone acetyltransferase complex	cellular component	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000150	recombinase activity	molecular function	2058	1989	2034	2086	2209	481	353	0	1928	1809	1999	1870	1570	1498	1417	1544	1455	970	834	903	610	830	791	791	821	503	579	75	1054	101	84	163	130	113	245	153	67
GO:0000151	ubiquitin ligase complex	cellular component	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000154	rRNA modification	biological process	29	30	27	27	36	7	6	0	28	31	25	32	18	20	32	26	26	20	6	16	10	16	15	12	10	6	1	0	18	2	2	11	2	15	6	11	2
GO:0000155	phosphorelay sensor kinase activity	molecular function	3641	3465	3729	3565	3730	844	552	2	3322	3234	3399	3339	2658	3438	3288	3662	3396	2246	755	744	526	876	811	867	918	576	614	73	739	424	186	565	495	384	252	209	302
GO:0000156	phosphorelay response regulator activity	molecular function	62	55	37	44	66	19	34	0	31	22	41	34	30	19	15	14	16	12	9	18	11	18	17	20	19	13	8	0	27	1	2	3	9	2	8	9	3
GO:0000159	protein phosphatase type 2A complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0000160	phosphorelay signal transduction system	biological process	6222	6090	6533	6062	6417	1418	1250	0	6486	6127	6729	6322	5226	5295	5023	5603	5358	3529	1846	1961	1363	2049	1969	2086	2129	1557	1617	270	1940	972	387	1447	1230	1018	623	662	643
GO:0000166	nucleotide binding	molecular function	15104	15061	15640	15219	15991	3675	3848	2	15445	14690	16217	15483	12892	15455	14474	16145	15395	10010	5446	5416	3901	6336	5952	6336	6598	6765	6833	1031	4997	2998	1115	5946	4872	3914	1628	1975	2417
GO:0000175	3'-5'-exoribonuclease activity	molecular function	171	165	152	162	153	46	39	0	180	193	201	166	178	193	141	173	211	113	62	83	54	70	59	88	86	43	48	6	64	32	20	62	42	59	13	27	15
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	29	30	27	27	36	7	6	0	28	31	25	32	18	20	32	26	26	20	6	16	10	16	15	12	10	6	1	0	18	2	2	11	2	15	6	11	2
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000228	nuclear chromosome	cellular component	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000256	allantoin catabolic process	biological process	7	5	5	12	7	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
GO:0000266	mitochondrial fission	biological process	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000270	peptidoglycan metabolic process	biological process	37	26	31	33	42	10	11	0	27	23	36	34	21	34	27	31	33	13	16	15	4	19	19	21	11	16	12	1	4	7	5	11	6	15	6	2	17
GO:0000271	polysaccharide biosynthetic process	biological process	37	44	47	29	49	12	14	0	74	74	82	69	70	57	42	55	45	38	19	24	8	25	21	23	21	9	24	4	24	12	4	19	19	10	7	22	6
GO:0000272	polysaccharide catabolic process	biological process	127	146	147	138	157	18	16	0	412	435	419	434	327	121	147	124	121	79	45	48	45	58	61	47	40	38	48	7	199	2	2	14	5	14	9	8	5
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	0	1	0	2	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000287	magnesium ion binding	molecular function	2423	2287	2350	2391	2359	541	658	0	2723	2649	2755	2735	2287	2326	2156	2480	2399	1441	740	717	539	817	843	825	892	712	831	134	779	428	134	855	633	592	268	257	268
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
