IPR	description	ERR1809119	ERR1809120	ERR1809121	ERR1809122	ERR1809123	ERR1809124	ERR1809125	ERR1809127	ERR1809128	ERR1809129	ERR1809130	ERR1809131	ERR1809132	ERR1809133	ERR1809134	ERR1809135	ERR1809136	ERR1809137	ERR1809138	ERR1809139	ERR1809140	ERR1809141	ERR1809142	ERR1809143	ERR1809144	ERR1809145	ERR1809146	ERR1809147	ERR1809148	ERR1809149	ERR1809150	ERR1809151	ERR1809152	ERR1809153	ERR1809154	ERR1809155	ERR1809156
IPR000008	C2 domain	0	1	1	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR000014	PAS domain	69	66	63	70	69	17	14	0	49	36	41	36	32	25	28	26	41	11	26	20	18	17	10	17	11	12	17	2	11	12	7	18	7	14	3	8	6
IPR000015	Outer membrane usher protein	284	264	294	285	293	71	6	0	14	21	15	13	8	0	0	0	0	0	0	0	0	4	7	4	5	1	1	1	0	8	0	1	1	0	13	0	0
IPR000021	Hok/gef cell toxic protein	19	17	10	18	14	4	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
IPR000022	Carboxyl transferase	1478	1463	1555	1520	1537	362	388	0	1480	1397	1514	1497	1211	1811	1680	1911	1789	1171	434	360	275	483	451	459	443	542	537	55	211	302	144	470	394	343	93	92	325
IPR000023	Phosphofructokinase domain	906	956	1022	992	952	204	288	0	815	771	855	776	661	1062	942	1152	1016	702	262	281	205	326	302	337	368	378	355	54	278	141	134	356	280	182	153	82	232
IPR000026	Guanine-specific ribonuclease N1/T1/U2	16	20	22	15	25	1	2	0	22	22	28	22	19	6	6	13	9	2	13	9	5	4	2	3	4	31	24	5	11	0	0	0	1	0	3	3	0
IPR000031	PurE domain	449	449	489	461	431	107	125	0	481	429	528	476	372	512	483	582	512	321	152	153	113	178	182	203	196	328	343	48	127	103	52	174	122	144	36	59	88
IPR000032	Phosphocarrier protein HPr-like	196	191	202	211	207	39	40	0	265	264	277	255	207	110	121	113	111	56	50	51	36	62	76	68	77	55	38	8	79	25	2	24	13	19	15	16	11
IPR000035	Alkylbase DNA glycosidase, conserved site	1	4	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	5	2	4	3	1	1	0	0	0	0	0	2	0	0
IPR000036	Peptidase A26, omptin	30	23	27	36	35	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000037	SsrA-binding protein	137	185	193	173	197	36	25	0	201	174	176	169	135	179	148	179	169	124	37	50	31	45	52	44	60	39	46	10	48	22	8	29	29	17	10	16	13
IPR000043	Adenosylhomocysteinase	284	286	256	275	272	56	79	0	116	107	121	100	117	428	334	469	413	267	53	61	62	60	66	57	63	42	35	6	59	65	10	284	265	31	17	7	58
