GO	description	category	ERR1811624	ERR1811625	ERR1811626	ERR1811627	ERR1811628	ERR1811629	ERR1811630	ERR1811631	ERR1811632	ERR1811633	ERR1811634	ERR1811635	ERR1811636	ERR1811637	ERR1811638	ERR1811639	ERR1811640	ERR1811641	ERR1811642	ERR1811643	ERR1811644	ERR1811645	ERR1811646	ERR1811647	ERR1811648	ERR1811649	ERR1811650	ERR1811651	ERR1811652	ERR1811653	ERR1811654	ERR1811655	ERR1811656	ERR1811657	ERR1811658	ERR1811659	ERR1811660	ERR1811661
GO:0000015	phosphopyruvate hydratase complex	cellular component	248	321	586	412	589	189	339	284	395	467	421	331	344	225	558	147	350	330	393	581	498	187	274	396	282	339	555	363	483	495	331	311	606	407	370	330	142	396
GO:0000150	recombinase activity	molecular function	2366	2573	4510	3661	5038	1900	3049	2413	2982	3554	4367	3023	3073	1424	3480	1692	3736	2865	3774	4367	4167	2505	3941	4303	2627	3188	5996	2466	3394	3222	2734	2837	4168	2877	3136	2556	1888	3411
GO:0000160	phosphorelay signal transduction system	biological process	31581	34191	67139	36985	56471	23204	41731	34417	40974	46166	54184	36072	42361	23714	56046	17304	43174	37755	53950	67921	63919	23696	33998	40975	34789	46268	67062	40668	49986	50255	40634	39574	59902	44440	49455	41122	19379	47608
GO:0000166	nucleotide binding	molecular function	262445	294659	599915	364708	542601	185485	357154	288117	381444	400419	427503	319014	330446	178356	489854	150366	346757	323355	440727	555079	510565	208562	298110	370784	303266	372784	573750	370451	423225	462881	359058	328466	579376	379662	411893	380346	170596	379648
GO:0003674	molecular function	molecular function	23045	28824	53031	36959	55192	16011	31099	27046	40075	38563	36781	31146	32783	15901	39143	17867	42857	36332	37021	48795	45558	26402	40313	43583	28834	34716	56810	27948	35020	35561	31799	30861	43913	31635	36344	34649	23937	34127
GO:0003676	nucleic acid binding	molecular function	189844	210606	395551	249035	375014	133471	246069	199155	257150	275490	301646	223691	222646	120326	320556	112792	264645	227231	303044	369519	346217	166706	245714	277403	206237	255006	387950	249881	288634	305183	242771	219630	388386	258280	278458	254246	158294	266578
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular function	18371	22120	47665	30122	42864	13399	25924	22301	32357	32051	31533	25103	28175	13087	33042	15522	36111	29391	31714	40891	38445	23327	35358	38412	24013	28039	46697	25182	28998	29301	25915	24920	37367	26218	30298	29417	17015	27280
GO:0003735	structural constituent of ribosome	molecular function	22008	24569	50469	33943	49440	15321	30140	23521	33057	35648	34951	29582	25984	14615	42685	12623	30127	28464	36571	46548	42468	19401	26980	32650	24729	30402	46760	34006	38693	41202	29817	26395	54563	34549	34119	33017	14393	32925
GO:0003824	catalytic activity	molecular function	283043	335797	672003	392532	595685	230216	380190	321270	406926	426036	546865	338163	363493	203536	508401	164213	369501	348429	493043	586898	552323	223630	318891	411732	328074	403729	625018	400866	439579	475406	384508	370824	617708	416728	457657	424135	197173	425111
GO:0004601	peroxidase activity	molecular function	2061	2016	5117	2590	3719	1286	2918	2148	2901	2938	3149	2073	2164	1201	3977	1633	3940	2891	3340	4165	3758	2758	4214	4175	2290	2400	4279	3097	3353	3759	2870	2260	4877	3055	3147	3176	1586	2680
