GO	description	category	ERR1811624	ERR1811625	ERR1811626	ERR1811627	ERR1811628	ERR1811629	ERR1811630	ERR1811631	ERR1811632	ERR1811633	ERR1811634	ERR1811635	ERR1811636	ERR1811637	ERR1811638	ERR1811639	ERR1811640	ERR1811641	ERR1811642	ERR1811643	ERR1811644	ERR1811645	ERR1811646	ERR1811647	ERR1811648	ERR1811649	ERR1811650	ERR1811651	ERR1811652	ERR1811653	ERR1811654	ERR1811655	ERR1811656	ERR1811657	ERR1811658	ERR1811659	ERR1811660	ERR1811661
GO:0000001	mitochondrion inheritance	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000002	mitochondrial genome maintenance	biological process	0	0	3	3	2	3	7	0	0	0	1	1	2	0	1	1	0	7	0	0	3	1	6	4	0	5	0	0	5	0	2	0	4	2	1	1	12	0
GO:0000012	single strand break repair	biological process	5	0	2	0	0	0	5	5	0	0	0	2	1	0	1	1	0	0	2	4	1	0	1	0	0	1	0	0	1	1	1	1	0	0	2	0	0	1
GO:0000015	phosphopyruvate hydratase complex	cellular component	248	321	586	412	589	189	339	284	395	467	421	331	344	225	558	147	350	330	393	581	498	187	274	396	282	339	555	363	483	495	331	311	606	407	370	330	142	396
GO:0000030	mannosyltransferase activity	molecular function	90	107	204	174	254	97	140	136	177	199	235	148	190	80	189	69	131	112	247	321	234	54	107	165	137	180	356	138	178	177	114	194	223	124	180	132	88	188
GO:0000041	transition metal ion transport	biological process	326	372	533	173	287	327	424	239	156	358	780	221	315	276	597	76	182	106	575	659	604	134	258	187	265	475	591	340	525	503	334	454	655	413	471	339	211	606
GO:0000042	protein targeting to Golgi	biological process	2	0	1	1	2	1	0	1	3	0	1	2	1	0	2	1	0	1	4	3	3	0	1	2	2	2	4	1	0	0	1	2	0	1	2	0	0	1
GO:0000045	autophagosome assembly	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0000049	tRNA binding	molecular function	2455	3057	5881	3673	5490	1770	3408	2706	3532	4089	4109	3418	2913	1681	5104	1379	3149	3056	4327	5239	4836	1832	2768	3438	2857	3675	5362	4274	4582	5095	3389	3046	6846	3918	3943	3700	1533	3651
GO:0000062	fatty-acyl-CoA binding	molecular function	55	40	85	28	39	18	114	47	36	38	39	13	64	32	146	15	31	21	88	152	122	23	44	28	55	66	110	74	103	125	81	58	111	72	89	72	21	64
GO:0000077	DNA damage checkpoint	biological process	0	0	0	0	2	0	0	0	0	1	0	1	0	0	3	2	1	0	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	0	0	0	3	1	0	0	1	2	0	0	1	0	0	1	1	0	2	1	1	0	0	0	0	0	2	0	0	1	2	2	0	3	2	0	1	4	0
GO:0000087	mitotic M phase	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000103	sulfate assimilation	biological process	4	1	10	6	8	1	5	5	10	2	3	6	5	2	7	3	4	2	4	4	2	5	9	6	0	0	3	1	4	2	0	2	5	5	6	5	0	3
GO:0000104	succinate dehydrogenase activity	molecular function	99	125	278	210	324	6	143	112	183	209	23	162	123	38	220	77	182	201	171	146	164	98	90	157	120	113	253	80	117	117	155	83	66	102	152	162	78	55
GO:0000105	histidine biosynthetic process	biological process	5601	6523	13271	7927	11946	4208	7007	5797	7371	8575	9171	6355	6328	3820	10347	3006	6888	6901	9427	10970	10163	4196	5787	7633	5975	7731	11209	7956	9250	10490	7532	6589	14165	9099	8346	8519	3686	8844
GO:0000123	histone acetyltransferase complex	cellular component	0	0	4	2	0	0	1	0	0	3	2	2	2	2	1	3	0	3	3	1	0	0	2	1	1	2	4	3	2	8	0	2	4	1	0	2	1	1
GO:0000124	SAGA complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000128	flocculation	biological process	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000139	Golgi membrane	cellular component	0	1	0	0	0	0	5	6	0	0	0	6	0	0	0	0	0	0	0	0	2	2	0	0	3	1	0	0	0	3	1	0	0	0	0	0	0	2
GO:0000145	exocyst	cellular component	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	7	6	4	0	0	1	10	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	0	0	1	2	3	1	1	2	1	1	0	4	0	0	10	6	10	6	0	3	4	13	0	3	1	0	2	1	1	0	0	3	0	0	1	0	0	0
GO:0000150	recombinase activity	molecular function	2366	2573	4510	3661	5038	1900	3049	2413	2982	3554	4367	3023	3073	1424	3480	1692	3736	2865	3774	4367	4167	2505	3941	4303	2627	3188	5996	2466	3394	3222	2734	2837	4168	2877	3136	2556	1888	3411
GO:0000151	ubiquitin ligase complex	cellular component	3	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	5	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0
GO:0000154	rRNA modification	biological process	124	133	272	172	278	84	175	130	151	189	182	137	134	79	281	68	210	163	207	263	244	114	138	179	116	162	241	182	189	196	144	123	287	174	168	150	63	166
GO:0000155	phosphorelay sensor kinase activity	molecular function	10091	10826	22584	12850	19396	7529	13542	11339	14296	15746	17794	11760	14750	8310	18230	6301	15795	13878	17417	22277	20794	8458	12101	14430	11346	15358	23197	13596	17087	16744	13288	12984	20301	14841	16147	13442	6942	15709
GO:0000156	phosphorelay response regulator activity	molecular function	808	761	1508	778	1438	466	933	922	675	1089	1089	825	1303	852	1384	373	1343	1014	1134	1812	1896	679	954	976	929	1223	2240	606	1379	961	992	984	1145	1387	1168	935	543	1066
GO:0000159	protein phosphatase type 2A complex	cellular component	2	0	2	0	0	0	3	1	0	2	0	0	1	0	0	4	1	1	1	4	0	2	1	0	2	0	4	1	1	1	4	0	0	2	0	0	0	0
GO:0000160	phosphorelay signal transduction system	biological process	31581	34191	67139	36985	56471	23204	41731	34417	40974	46166	54184	36072	42361	23714	56046	17304	43174	37755	53950	67921	63919	23696	33998	40975	34789	46268	67062	40668	49986	50255	40634	39574	59902	44440	49455	41122	19379	47608
GO:0000166	nucleotide binding	molecular function	38948	42171	86576	54151	80901	27654	52644	40569	53385	58942	64445	48262	46512	27090	78302	20406	48465	44071	68234	84201	75601	30004	42865	51344	43567	54239	82994	61251	69066	77400	52244	48443	97932	62004	61455	55093	24598	58365
GO:0000172	ribonuclease MRP complex	cellular component	16	12	11	33	50	40	23	14	44	13	91	20	13	28	31	6	4	25	23	26	28	6	9	10	9	27	38	52	74	53	7	9	118	35	15	15	9	26
GO:0000175	3'-5'-exoribonuclease activity	molecular function	361	422	939	484	834	223	484	411	545	617	508	460	479	238	724	217	523	493	593	834	779	284	394	530	438	521	817	590	679	695	570	482	820	594	602	582	281	525
GO:0000176	nuclear exosome (RNase complex)	cellular component	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000178	exosome (RNase complex)	cellular component	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	124	133	272	172	278	84	175	130	151	189	182	137	134	79	281	68	210	163	207	263	244	114	138	179	116	162	241	182	189	196	144	123	287	174	168	150	63	166
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological process	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0
GO:0000186	activation of MAPKK activity	biological process	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
GO:0000213	tRNA-intron endonuclease activity	molecular function	30	70	59	110	109	148	71	45	121	43	241	56	20	31	114	23	28	40	87	66	93	38	23	57	30	61	49	155	196	165	65	35	305	115	74	31	63	150
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	8	5	1	1	0	0	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	3
GO:0000226	microtubule cytoskeleton organization	biological process	0	0	0	1	1	0	2	5	3	1	0	3	0	0	1	1	2	7	0	0	0	5	3	2	0	0	2	0	1	1	1	1	1	0	0	0	0	1
GO:0000228	nuclear chromosome	cellular component	4	2	8	7	11	0	3	1	8	8	4	1	6	4	13	3	6	6	6	3	11	5	15	8	7	6	5	3	11	8	11	7	8	6	14	0	6	9
GO:0000245	spliceosomal complex assembly	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0000256	allantoin catabolic process	biological process	96	176	718	229	244	25	189	110	345	317	34	142	97	23	163	132	269	222	103	115	150	148	262	263	153	142	216	82	69	109	127	78	87	113	223	472	196	103
GO:0000262	mitochondrial chromosome	cellular component	0	0	3	3	2	3	7	0	0	0	1	1	2	0	1	1	0	7	0	0	3	1	6	4	0	5	0	0	5	0	2	0	4	2	1	1	12	0
GO:0000266	mitochondrial fission	biological process	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1
GO:0000270	peptidoglycan metabolic process	biological process	255	200	479	262	432	113	316	258	355	306	217	253	234	133	371	101	230	229	344	393	428	104	136	219	280	307	466	194	263	252	348	254	217	235	326	287	57	207
GO:0000271	polysaccharide biosynthetic process	biological process	293	282	589	407	527	116	366	300	387	480	310	289	368	146	511	156	406	337	421	526	471	306	333	442	294	347	672	524	407	414	287	276	725	359	301	321	197	316
GO:0000272	polysaccharide catabolic process	biological process	1250	1494	3000	1718	3338	1626	2038	1261	1571	1903	3689	1862	1406	1157	2848	468	935	1225	2955	2935	3206	484	591	1182	1341	1928	2969	1979	3686	2733	1894	1477	3790	2447	2176	1611	1465	2173
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular component	0	2	0	0	4	1	1	0	1	2	2	3	1	1	1	0	3	1	0	0	2	0	0	3	1	0	4	0	2	0	3	0	0	1	0	0	1	1
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	4	3	1	0	1	0	0	3	0	1	1	1	1	2	1	1	2	0	0
GO:0000287	magnesium ion binding	molecular function	9268	9936	20598	13061	19534	6556	12318	9640	13018	13591	14686	11135	10944	6176	17562	5211	12123	11206	15690	19151	17488	7323	10498	13084	10337	12601	19411	12792	15144	16984	12444	10884	20052	13782	14175	13143	6355	13067
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	54	61	282	177	264	5	77	73	190	123	22	127	74	19	94	129	219	198	102	131	113	199	280	324	71	89	133	57	56	37	113	76	39	44	136	177	41	19
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000372	Group I intron splicing	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	1	0	2	3	4	1	11	5	3	5	4	1	31	2	1	9	3	5	0	4	5	8	2	2	2	1	1	1	11	0	2	5	1	0	4	1	0	2
GO:0000400	four-way junction DNA binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	biological process	1589	1726	4028	2411	3654	908	2129	1732	2631	2483	2215	2228	1886	1090	2909	1013	2049	2044	2291	3121	3092	1218	1732	2190	1961	2108	3255	2014	2442	2497	2177	1947	3172	2056	2387	2658	818	2133
GO:0000439	core TFIIH complex	cellular component	1	1	1	1	3	1	2	5	0	0	2	3	1	0	2	3	0	3	1	3	6	1	1	6	2	2	2	1	2	1	4	2	2	0	9	1	0	2
GO:0000445	THO complex part of transcription export complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological process	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0
GO:0000469	cleavage involved in rRNA processing	biological process	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000502	proteasome complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000723	telomere maintenance	biological process	49	43	103	64	81	34	61	38	47	72	100	64	31	30	87	70	116	78	68	98	79	129	18	78	39	58	63	75	148	197	46	39	187	118	39	47	35	54
GO:0000724	double-strand break repair via homologous recombination	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000725	recombinational repair	biological process	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000737	DNA catabolic process, endonucleolytic	biological process	41	42	73	64	89	49	54	43	75	57	89	41	40	22	56	22	20	35	65	80	97	24	10	42	34	61	81	42	66	59	45	43	70	46	50	39	19	67
GO:0000746	conjugation	biological process	42	33	28	19	52	18	42	40	23	37	63	16	40	21	66	10	40	41	29	70	68	10	20	21	39	41	67	18	60	44	35	46	27	48	32	23	20	53
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000772	mating pheromone activity	molecular function	1	0	4	2	0	0	4	1	1	4	4	0	0	1	1	0	0	1	1	0	2	0	0	0	4	3	1	1	2	2	2	0	2	2	3	5	1	0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	714	846	1609	914	1522	520	892	766	948	1012	1255	842	774	460	1332	318	972	755	1219	1406	1345	517	653	864	785	979	1499	1097	1275	1278	877	828	1804	1120	1096	989	415	1109
GO:0000775	chromosome, centromeric region	cellular component	0	1	3	1	2	0	0	0	0	0	0	2	0	0	2	1	2	0	2	0	0	0	1	1	0	0	0	1	0	3	1	1	0	0	0	0	0	0
GO:0000776	kinetochore	cellular component	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	3	0	3	2	2	1	0	0	2	1	3	0	0	0	0	0	0	0	1	0	0	0
GO:0000784	nuclear chromosome, telomeric region	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0
GO:0000785	chromatin	cellular component	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	2	2	0	0	0
GO:0000786	nucleosome	cellular component	34	26	33	31	39	16	49	43	29	45	26	36	22	15	35	22	19	22	21	36	36	40	8	21	22	37	17	22	21	33	22	14	48	43	19	18	1	18
GO:0000795	synaptonemal complex	cellular component	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
GO:0000796	condensin complex	cellular component	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	1	1	4	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
GO:0000808	origin recognition complex	cellular component	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	2	0	0	1	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
GO:0000813	ESCRT I complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000902	cell morphogenesis	biological process	2208	2692	4635	3250	4605	1524	2889	2335	2887	3261	3380	2771	2581	1321	3983	1033	2528	2577	3421	4573	4010	1481	2093	2554	2494	3072	4685	3325	3306	3897	2976	2976	5076	3084	3257	3018	1151	3222
GO:0000910	cytokinesis	biological process	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000917	barrier septum assembly	biological process	146	95	350	160	170	17	224	146	200	191	45	139	100	61	299	45	89	133	223	237	229	53	65	92	127	140	205	110	151	171	230	101	87	133	232	192	20	70
