#SampleID	ERR2270664	ERR2270665	ERR2270666	ERR2270667	ERR2270668	ERR2270669	ERR2270670	ERR2270671	ERR2270672	ERR2270673	ERR2270674	ERR2270675	ERR2270676	ERR2270677	ERR2270678	ERR2270679	ERR2270680	ERR2270681	ERR2270682	ERR2270683	ERR2270684	ERR2270685	ERR2270686	ERR2270687	ERR2270688	ERR2270689	ERR2270690	ERR2270691	ERR2270692	ERR2270693	ERR2270694	ERR2270695	ERR2270696	ERR2270697	ERR2270698	ERR2270699	ERR2270700	ERR2270701	ERR2270702	ERR2270703	ERR2270704	ERR2270705	ERR2270706	ERR2270707	ERR2270708	ERR2270709	ERR2270710	ERR2270711	ERR2270712	ERR2270713	ERR2270714	ERR2270715	ERR2270716	ERR2270717	ERR2270718	ERR2270719	ERR2270720	ERR2270721	ERR2270722	ERR2270723	ERR2270724	ERR2270725	ERR2270726	ERR2270727	ERR2270728	ERR2270729	ERR2270730	ERR2270731	ERR2270732	ERR2270733	ERR2270734	ERR2270735	ERR2270736	ERR2270737	ERR2270738	ERR2270739	ERR2270740	ERR2270741	ERR2270742	ERR2270743
sk__Archaea	0	0	0	0	11.0	0	0	0	0	65.0	0	0	0	0	0	0	8.0	0	11.0	0	0	0	0	0	0	0	0	0	0	1.0	4.0	0	0	0	0	6.0	3.0	1.0	0	0	0	0	0	0	0	0	0	23.0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587.0	1.0	0	0	0	15.0	0	0	0	0	0	2.0	18.0	0	0	0	12.0
sk__Archaea;k__;p__Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__;s__Diapherotrites_archaeon_SCGC_AAA011-N19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Nanoarchaeota	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__;o__;f__;g__Candidatus_Nitrosotenuis	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	5.0	0	0	0	0	0	0	1.0	0	0	0	1.0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	2027.0	57.0	1412.0	948.0	851.0	2690.0	352.0	303.0	298.0	939.0	86.0	255.0	267.0	864.0	118.0	118.0	234.0	807.0	3603.0	1014.0	276.0	183.0	192.0	2510.0	731.0	75.0	1353.0	754.0	623.0	58.0	348.0	1230.0	277.0	427.0	210.0	2803.0	208.0	74.0	543.0	498.0	7085.0	1705.0	572.0	942.0	293.0	170.0	952.0	818.0	1152.0	361.0	1093.0	108.0	1603.0	679.0	152.0	420.0	199.0	4530.0	127.0	113.0	32.0	368.0	581.0	2295.0	475.0	144.0	465.0	613.0	384.0	153.0	195.0	2078.0	892.0	2553.0	364.0	303.0	225.0	81.0	452.0	252.0
