#SampleID	ERR4076730	ERR4076731	ERR4076732	ERR4076733	ERR4076734	ERR4076725	ERR4076726	ERR4076727	ERR4076728	ERR4076729
sk__Archaea	250	11	9	80	0	1	4	509	266	1210
sk__Archaea;k__;p__Candidatus_Aenigmarchaeota	1	0	0	0	0	0	0	0	1	9
sk__Archaea;k__;p__Candidatus_Diapherotrites	23	0	0	14	0	0	0	69	32	129
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__;s__Diapherotrites_archaeon_SCGC_AAA011-K09	0	0	0	0	0	0	0	5	0	3
sk__Archaea;k__;p__Candidatus_Hydrothermarchaeota	2	0	0	3	0	0	0	1	0	9
sk__Archaea;k__;p__Candidatus_Micrarchaeota	2	0	0	0	0	0	0	6	0	9
sk__Archaea;k__;p__Candidatus_Woesearchaeota	2	0	0	1	0	0	0	4	1	8
sk__Archaea;k__;p__Crenarchaeota	14	1	0	2	0	0	0	27	3	57
sk__Archaea;k__;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	0	0	0	0	0	0	0	0	1	0
sk__Archaea;k__;p__Euryarchaeota	2	0	0	0	0	0	0	0	2	6
sk__Archaea;k__;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales	0	0	0	1	0	0	0	0	0	2
sk__Archaea;k__;p__Euryarchaeota;c__Hadesarchaea	13	0	0	0	0	0	0	25	9	61
sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	0	0	0	0	0	0	0	0	2	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	1	0	0	0	0	0	4
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	0	0	0	0	0	0	0	0	0	1
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula	1	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	0	0	0	0	0	0	2	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	0	1	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus_Methanoperedenaceae;g__Candidatus_Methanoperedens	43	0	0	7	0	0	0	56	28	100
