GO	description	category	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
GO:0000015	phosphopyruvate hydratase complex	cellular component	123	157	127	0	0	0	0	112	176	178	201	2	79	111	173	64	13	17	95	106	1	95	55	85	21	101
GO:0000150	recombinase activity	molecular function	1502	1778	1418	10	10	10	16	1031	2067	2205	1826	16	1026	1794	1873	349	100	59	400	389	11	409	264	400	132	402
GO:0000160	phosphorelay signal transduction system	biological process	4860	11122	4165	95	104	50	117	4298	5429	8327	5615	103	4070	6073	10922	3009	612	527	2401	2328	129	2444	2507	2165	1071	2333
GO:0000166	nucleotide binding	molecular function	61476	95260	55875	787	952	447	1329	52211	73701	103227	74303	1143	40621	66462	92346	17992	4275	3699	20871	20788	884	22264	14897	20208	5946	18451
GO:0003674	molecular function	molecular function	4126	8593	3700	138	199	67	267	4348	4516	8916	4865	342	3954	6276	8282	2540	532	532	2118	1980	148	2031	1964	1900	811	2088
GO:0003676	nucleic acid binding	molecular function	45420	76717	42153	587	713	375	1078	32856	56615	67115	55005	751	26232	42788	75869	16524	3684	3443	19522	19725	790	21300	13693	20291	5149	17265
GO:0003700	transcription factor activity@ sequence-specific DNA binding	molecular function	4174	7366	3720	131	193	71	266	3384	4559	6756	4744	120	3518	5563	7039	2530	603	559	2023	1890	310	2157	1970	1705	1023	2225
GO:0003735	structural constituent of ribosome	molecular function	9417	10682	8657	157	327	185	547	6291	12587	14446	11475	518	4387	7104	10412	2907	581	621	4763	5048	115	5135	2433	5067	811	3881
GO:0003824	catalytic activity	molecular function	46647	70255	42610	753	784	456	925	40162	53798	80082	55115	784	32617	53054	67580	11846	2884	2671	13331	12552	682	13775	9555	12206	4044	12378
GO:0004601	peroxidase activity	molecular function	356	1175	293	21	28	6	25	1081	302	1985	331	37	619	1055	1205	194	53	48	116	82	18	100	155	85	64	133
GO:0004803	transposase activiy	molecular function	2696	11223	2457	35	29	19	27	2163	3295	4368	3116	22	2090	4095	12149	1068	243	273	1499	1324	39	1497	907	1548	297	1318
GO:0004871	signal transducer activity	molecular function	1964	4789	1716	40	26	20	53	2012	2268	3839	2302	37	1615	2586	4686	1612	415	282	1213	1117	75	1200	1385	1085	694	1182
GO:0004872	receptor activity	molecular function	1788	4120	1588	38	25	19	49	1841	2079	3490	2107	31	1478	2417	4024	1489	398	261	1163	1053	73	1146	1283	1030	645	1112
GO:0005215	transporter activity	molecular function	16535	37359	14255	552	273	249	396	19473	17938	38301	19123	344	16816	27429	36325	7854	1860	1615	6740	6325	778	6697	6528	5825	2627	6581
GO:0005515	protein binding	molecular function	16234	25572	14192	217	362	138	455	11263	17368	21301	18750	450	15212	21020	24247	6111	2446	1428	6423	5761	196	6342	5141	5280	2913	5865
GO:0005575	cellular component	cellular component	530	1204	472	33	35	5	40	339	722	770	637	53	350	598	1188	466	114	96	439	439	54	441	406	415	188	385
GO:0005576	extracellular region	cellular component	120	169	109	3	3	1	8	700	144	1287	122	6	192	370	215	85	60	39	99	80	4	94	73	53	90	103
GO:0005618	cell wall	cellular component	8	0	7	0	0	0	0	0	4	0	5	0	0	0	0	24	5	5	15	14	2	13	22	18	11	17
GO:0005622	intracellular	cellular component	1220	1895	1111	20	29	11	46	951	1601	2033	1510	45	843	1172	1831	742	217	178	793	846	26	839	633	795	283	788
GO:0005634	nucleus	cellular component	23	97	18	4	3	3	8	57	22	105	37	5	199	255	65	10	39	2	2	2	0	1	9	1	22	2
GO:0005694	chromosome	cellular component	931	1127	873	11	18	11	23	638	1259	1187	1210	26	425	644	998	281	71	63	348	373	12	396	239	397	91	326
GO:0005727	extrachromosomal circular DNA	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0005737	cytoplasm	cellular component	5161	9526	4595	66	59	46	73	5209	6145	10877	6153	89	4203	6441	9284	2934	733	671	2803	2846	169	2974	2438	2805	1117	2890
GO:0005839	proteasome core complex	cellular component	124	187	109	5	6	2	6	44	171	85	126	9	62	110	132	48	11	12	46	29	2	43	36	54	16	44
GO:0005840	ribosome	cellular component	9202	10547	8476	155	322	180	516	6223	12314	14261	11240	508	4328	7008	10268	2902	586	624	4752	5008	118	5108	2443	5029	815	3847
GO:0005874	microtubule	cellular component	5	17	5	3	9	4	11	7	6	21	11	54	21	33	7	3	4	0	6	3	0	5	2	7	8	2
GO:0005886	plasma membrane	cellular component	1826	2816	1536	64	29	21	30	1386	1993	2714	2007	28	1178	2063	2916	1406	302	275	1296	1078	190	1255	1166	924	455	1196
GO:0005975	carbohydrate metabolic process	biological process	11277	16963	10460	310	182	112	233	8745	13719	17910	14086	193	7879	12425	16714	3175	782	666	3931	4020	355	4099	2548	3909	1055	3658
GO:0006091	generation of precursor metabolites and energy	biological process	3834	7383	3515	78	60	49	75	3488	4277	7085	4626	84	3143	5006	7272	1628	381	369	1532	1439	85	1500	1315	1334	536	1537
GO:0006259	DNA metabolic process	biological process	24820	46194	23217	240	206	151	284	16029	31210	32459	30182	202	13275	22706	47510	7812	1722	1556	9597	9503	297	10499	6506	10107	2334	8120
GO:0006282	regulation of DNA repair	biological process	77	138	64	2	0	0	2	72	106	162	103	1	26	48	146	28	3	5	39	35	3	39	32	38	7	42
GO:0006351	transcription@ DNA-templated	biological process	6993	8825	6431	114	278	89	413	4579	8868	9331	8461	211	3636	5756	8135	1391	307	350	2204	2182	88	2342	1175	2222	397	1703
GO:0006412	translation	biological process	21904	25459	20258	237	446	250	678	14625	28960	31663	27122	648	10440	16890	24494	5374	1064	1116	8866	9378	210	9683	4511	9505	1484	7183
GO:0006457	protein folding	biological process	1497	2374	1379	45	86	19	136	1451	1783	2972	1860	106	891	1504	2410	592	134	147	793	797	42	878	508	738	195	669
GO:0006508	proteolysis	biological process	8559	14764	7626	150	246	92	288	6507	10068	12492	10558	236	6206	9733	13755	3138	796	746	3448	3544	116	3629	2478	3297	1118	3067
GO:0006629	lipid metabolic process	biological process	5662	11338	5138	116	108	60	146	7320	6511	14227	6948	91	5929	9457	10704	2874	727	676	2352	2349	125	2441	2310	2261	1049	2615
GO:0006807	nitrogen compound metabolic process	biological process	28141	52722	26025	465	395	265	574	29488	33358	59913	34503	491	24626	39840	50420	11821	2774	2613	11396	11685	621	11858	9899	11036	4222	11765
GO:0006808	regulation of nitrogen utilization	biological process	193	340	180	4	6	0	13	269	208	571	223	13	227	350	324	98	29	27	90	68	3	73	88	76	41	101
GO:0006810	transport	biological process	25352	52368	22137	689	425	305	585	25891	27902	51339	29422	496	23406	38882	51679	11832	2822	2372	10851	10020	1112	10967	9880	9373	4139	10275
GO:0006950	response to stress	biological process	5257	8276	5014	75	51	28	80	4505	6636	9252	6339	70	3205	5121	7984	2142	462	450	2413	2463	107	2560	1781	2408	692	2140
GO:0007155	cell adhesion	biological process	324	479	241	17	16	5	15	145	275	262	323	31	107	162	602	168	51	21	238	141	38	202	148	123	57	89
GO:0007165	signal transduction	biological process	2828	6565	2378	55	47	27	77	1718	3137	3687	3317	75	2192	3434	6528	1988	489	304	1616	1468	54	1568	1709	1316	813	1419
GO:0008134	transcription factor binding	molecular function	1250	2812	1078	19	25	6	34	769	1370	1549	1468	20	772	1201	2435	385	62	101	427	369	22	407	302	349	107	339
GO:0008150	biological process	biological process	2783	6088	2508	36	41	26	55	2130	3410	4272	3542	111	2094	3357	6491	1289	316	275	1225	1288	70	1306	1027	1277	447	1182
