GO	description	category	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
GO:0000001	mitochondrion inheritance	biological process	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000002	mitochondrial genome maintenance	biological process	16	0	11	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	3	4	0	4	0	6	0	0
GO:0000012	single strand break repair	biological process	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000015	phosphopyruvate hydratase complex	cellular component	123	157	127	0	0	0	0	112	176	178	201	2	79	111	173	64	13	17	95	106	1	95	55	85	21	101
GO:0000030	mannosyltransferase activity	molecular function	66	55	80	1	0	0	1	10	107	41	97	0	20	31	45	15	4	3	29	29	1	31	11	34	4	21
GO:0000034	adenine deaminase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0000041	transition metal ion transport	biological process	45	8	34	1	0	0	1	14	71	15	66	1	20	40	7	5	3	1	8	6	1	9	3	15	5	18
GO:0000045	autophagosome assembly	biological process	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000049	tRNA binding	molecular function	931	1029	857	9	9	7	20	607	1230	1202	1123	10	410	647	1059	254	45	54	386	380	10	413	216	394	76	306
GO:0000062	fatty-acyl-CoA binding	molecular function	5	22	7	1	0	0	0	93	5	124	8	0	15	40	21	9	1	2	3	0	2	2	8	2	4	1
GO:0000077	DNA damage checkpoint	biological process	1	1	0	0	0	0	0	0	0	1	1	0	3	2	1	0	0	0	0	0	0	0	0	0	2	0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	0	2	1	0	0	0	0	1	1	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000103	sulfate assimilation	biological process	2	7	1	0	0	0	0	0	2	3	0	0	3	4	10	25	5	4	19	16	2	16	21	15	10	21
GO:0000104	succinate dehydrogenase activity	molecular function	43	176	44	1	0	0	1	133	35	234	36	2	80	127	204	80	19	17	48	35	3	35	66	26	29	57
GO:0000105	histidine biosynthetic process	biological process	1158	2319	1170	17	11	17	24	1311	1523	2864	1441	23	897	1478	2261	421	88	94	363	406	15	380	328	408	126	408
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	8	8	11	2	11	18	8	10	21
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological process	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000124	SAGA complex	cellular component	0	0	0	0	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000139	Golgi membrane	cellular component	2	4	2	0	0	0	0	0	0	7	0	0	2	13	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000145	exocyst	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0
GO:0000148	1@3-beta-D-glucan synthase complex	cellular component	3	0	0	0	0	2	0	1	6	2	8	0	0	1	0	0	0	0	2	2	0	0	0	0	0	3
GO:0000150	recombinase activity	molecular function	1502	1778	1418	10	10	10	16	1031	2067	2205	1826	16	1026	1794	1873	349	100	59	400	389	11	409	264	400	132	402
GO:0000151	ubiquitin ligase complex	cellular component	0	2	0	0	1	0	0	1	3	4	1	2	4	3	4	1	5	0	0	0	0	0	1	0	0	0
GO:0000154	rRNA modification	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	28	18	0	23	9	27	4	11
GO:0000155	phosphorelay sensor kinase activity	molecular function	1707	3614	1501	31	19	19	33	1581	1978	2983	1974	21	1092	1775	3504	1256	266	232	1092	992	60	1083	1091	964	485	1007
GO:0000156	phosphorelay response regulator activity	molecular function	181	678	140	2	1	1	4	190	194	371	203	6	191	259	671	130	29	23	55	71	2	61	107	58	53	73
GO:0000159	protein phosphatase type 2A complex	cellular component	0	1	1	1	0	0	0	0	2	1	1	0	10	5	1	0	1	0	0	0	0	0	0	0	0	0
GO:0000160	phosphorelay signal transduction system	biological process	4860	11122	4165	95	104	50	117	4298	5429	8327	5615	103	4070	6073	10922	3009	612	527	2401	2328	129	2444	2507	2165	1071	2333
GO:0000162	tryptophan biosynthetic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	10	11	33	31	3	30	42	31	20	39
GO:0000166	nucleotide binding	molecular function	10981	13427	10073	77	106	50	122	7388	14302	14836	13742	104	5447	9159	12928	2266	513	421	3460	3635	99	3831	1875	3798	689	2788
GO:0000176	nuclear exosome (RNase complex)	cellular component	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
