IPR	description	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
IPR000001	Kringle	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
IPR000007	Tubby, C-terminal	0	1	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0
IPR000008	C2 domain	5	14	2	0	0	1	2	8	4	12	8	2	24	25	9	6	6	1	0	0	0	0	2	1	6	2
IPR000009	Protein phosphatase 2A regulatory subunit PR55	0	0	1	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
IPR000010	Cystatin domain	1	0	0	0	0	0	0	0	0	4	2	0	7	6	1	0	1	0	1	0	0	1	0	1	1	1
IPR000011	Ubiquitin/SUMO-activating enzyme E1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
IPR000013	Peptidase M7, snapalysin	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000014	PAS domain	1497	4118	1319	16	15	12	28	1137	1880	2390	1754	16	677	1135	4438	927	148	166	688	639	19	704	781	641	324	770
IPR000015	Outer membrane usher protein	4	0	1	15	0	3	0	73	4	135	2	0	9	30	3	2	2	2	2	5	23	2	3	4	3	8
IPR000021	Hok/gef cell toxic protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR000023	Phosphofructokinase domain	287	255	259	2	5	2	3	48	357	157	392	4	61	97	262	36	11	5	63	81	3	65	36	83	9	58
IPR000026	Guanine-specific ribonuclease N1/T1/U2	10	70	6	0	0	0	1	64	15	162	4	0	11	30	76	14	1	4	5	6	0	8	15	7	3	3
IPR000028	Chloroperoxidase	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000030	PPE family	1	4	0	0	0	1	0	4	0	4	1	0	2	3	3	3	0	1	0	0	0	0	1	0	0	1
IPR000031	PurE domain	162	296	160	0	0	0	1	122	201	351	194	4	100	154	309	61	13	13	61	67	1	74	45	68	18	68
IPR000032	Phosphocarrier protein HPr-like	68	114	59	1	0	2	2	85	80	150	85	1	87	154	129	39	10	8	26	28	5	27	36	27	16	43
IPR000033	LDLR class B repeat	8	0	8	0	0	0	0	0	7	1	10	0	3	3	1	0	0	0	3	3	0	3	0	1	2	0
IPR000034	Laminin IV	1	0	0	0	0	0	0	0	0	1	1	0	2	3	0	0	3	0	0	0	0	0	0	0	0	0
IPR000035	Alkylbase DNA glycosidase, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
IPR000036	Peptidase A26, omptin	1	0	0	0	0	0	0	0	2	1	2	0	3	5	0	1	1	0	0	1	0	1	1	1	3	1
IPR000037	SsrA-binding protein	325	299	297	2	6	2	5	186	349	356	338	4	136	208	350	70	14	11	105	133	1	122	57	122	16	90
IPR000043	Adenosylhomocysteinase-like	355	627	312	8	30	3	28	442	411	768	416	26	320	476	750	75	14	17	109	105	2	108	54	91	25	85
IPR000045	Prepilin type IV endopeptidase, peptidase domain	162	206	139	1	0	0	2	197	194	441	179	3	134	212	196	82	17	14	87	110	2	109	56	94	27	83
IPR000047	Helix-turn-helix motif	2	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0
IPR000048	IQ motif, EF-hand binding site	5	11	1	0	0	0	0	1	9	6	15	0	14	15	5	1	4	0	1	1	0	0	0	0	2	0
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	4	0	2	3	1	2	1
IPR000054	Ribosomal protein L31e	6	4	4	1	0	1	1	0	8	1	11	3	1	1	1	0	0	0	3	3	0	3	0	3	0	2
IPR000055	Restriction endonuclease, type I, HsdS	192	417	175	2	1	0	2	35	286	116	211	0	36	80	521	123	15	9	105	81	2	111	100	129	29	102
IPR000056	Ribulose-phosphate 3-epimerase-like	321	493	300	8	2	2	5	234	382	526	369	6	210	361	542	77	14	19	106	120	2	128	72	134	21	89
IPR000058	Zinc finger, AN1-type	1	0	1	0	0	0	0	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
IPR000060	BCCT transporter family	3	157	0	2	0	0	1	20	1	60	3	0	99	137	143	8	2	4	0	1	9	0	6	1	2	5
IPR000061	SWAP/Surp	0	3	0	0	0	0	0	0	0	1	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
IPR000064	Endopeptidase, NLPC/P60 domain	74	192	74	5	2	3	0	95	85	162	80	6	72	132	191	66	17	9	51	49	5	57	53	50	26	51
IPR000066	Antenna complex, alpha/beta subunit	9	40	9	0	0	0	0	3	1	13	0	0	47	34	37	31	13	10	8	0	0	9	17	6	16	14
IPR000067	Flagellar M-ring protein FliF	27	105	16	1	1	0	0	8	20	22	25	1	25	34	111	39	6	3	18	27	0	17	34	20	10	23
IPR000069	Envelope glycoprotein M, flavivirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000070	Pectinesterase, catalytic	13	11	5	0	0	0	0	1	2	4	5	0	0	0	9	6	0	1	3	1	1	3	4	2	0	4
IPR000071	Immunodeficiency lentiviral matrix, N-terminal	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR000072	PDGF/VEGF domain	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000073	Alpha/beta hydrolase fold-1	620	1150	578	14	12	3	10	665	611	1424	647	8	444	909	1089	710	138	162	509	410	19	544	603	307	255	555
IPR000074	Apolipoprotein A/E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
IPR000077	Ribosomal protein L39e	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1
IPR000079	High mobility group protein HMGN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000083	Fibronectin, type I	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000084	PE-PGRS family, N-terminal	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
IPR000085	Bacterial DNA recombination protein RuvA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	7	6	49	51	1	56	26	46	11	33
IPR000086	NUDIX hydrolase domain	822	808	797	10	3	4	10	559	1110	1202	1073	6	379	677	848	384	73	69	567	592	20	616	334	516	126	441
IPR000089	Biotin/lipoyl attachment	308	836	299	8	7	9	5	457	305	883	365	6	401	748	863	239	56	61	167	145	9	136	203	125	89	205
IPR000090	Flagellar motor switch protein FliG	46	217	37	1	3	0	2	8	48	44	58	2	37	65	182	66	10	10	30	30	0	28	48	29	11	40
IPR000092	Polyprenyl synthetase	356	753	351	5	10	1	6	414	438	899	460	7	378	555	720	130	30	26	113	109	5	121	94	113	42	123
IPR000093	DNA recombination protein RecR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	7	8	40	41	2	40	24	31	17	44
IPR000095	CRIB domain	0	1	0	0	0	0	0	1	1	0	0	1	2	1	3	0	0	0	0	0	0	0	0	0	1	0
IPR000096	Serum amyloid A protein	2	1	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	2	1	0	0	1	3	0	0
IPR000100	Ribonuclease P	108	124	105	2	3	1	7	75	149	130	125	0	48	105	143	45	9	12	70	78	1	87	36	77	14	53
IPR000101	Gamma-glutamyltranspeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	5	6	3	1	4	5	5	7	11
IPR000104	Antifreeze protein, type I	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0
IPR000109	Proton-dependent oligopeptide transporter family	88	105	61	2	2	1	3	53	83	125	100	0	88	175	75	40	10	12	31	31	8	28	20	28	20	44
IPR000110	Ribosomal protein S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	6	11	7	0	7	16	7	9	18
IPR000111	Glycoside hydrolase family 27/36, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR000114	Ribosomal protein L16	184	210	153	3	2	4	10	120	205	267	194	3	73	129	202	57	11	14	101	111	2	105	51	104	15	77
IPR000115	Phosphoribosylglycinamide synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	6	7	19	35	1	22	28	22	11	36
IPR000118	Granulin	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
IPR000119	Histone-like DNA-binding protein	368	932	308	11	10	4	7	285	394	567	417	15	274	368	961	217	36	41	183	200	8	225	170	198	58	201
IPR000121	PEP-utilising enzyme, C-terminal	638	901	585	11	6	5	11	484	846	1024	747	7	478	766	815	113	34	24	140	144	4	141	102	138	41	160
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	22	56	16	0	0	0	0	9	28	26	19	0	25	41	33	21	7	6	33	19	0	30	19	20	9	32
IPR000125	Glycoside hydrolase, family 14A, bacterial	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000126	Serine proteases, V8 family, serine active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
IPR000131	ATP synthase, F1 complex, gamma subunit	468	692	397	2	5	2	11	365	582	735	552	6	250	372	640	79	17	17	148	149	2	159	73	141	19	113
IPR000132	Nitrilase/cyanide hydratase, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	1	4	2	0	0	2
IPR000133	ER lumen protein retaining receptor	0	1	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0
IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0
IPR000148	Papillomavirus E7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
IPR000150	Cof family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	6	1	0	1	0	3
IPR000152	EGF-type aspartate/asparagine hydroxylation site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
IPR000156	Ran binding domain	0	2	0	0	1	0	0	0	1	0	0	0	4	5	0	0	3	0	0	0	0	0	0	0	1	0
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	121	229	93	0	0	0	3	32	111	76	101	1	95	149	218	122	30	7	75	40	0	76	95	40	37	72
IPR000158	Cell division protein FtsZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	7	5	48	61	1	53	29	48	13	36
IPR000159	Ras-associating (RA) domain	1	0	0	0	0	0	0	0	0	2	1	0	3	3	0	0	1	0	0	0	0	0	0	0	1	0
IPR000160	GGDEF domain	1178	4018	1002	21	26	4	22	760	1438	1774	1540	19	1085	1718	4912	690	130	120	434	530	20	431	590	498	296	507
IPR000163	Prohibitin	15	1	16	0	1	0	0	1	24	7	27	1	1	5	1	2	1	3	9	16	0	9	2	10	2	9
IPR000164	Histone H3/CENP-A	1	13	1	1	7	1	1	4	2	13	2	7	15	19	14	10	4	0	0	0	0	0	7	0	2	3
IPR000165	Glucoamylase	1	5	0	0	0	0	0	0	1	1	10	0	0	0	1	2	0	1	0	3	0	1	0	0	0	1
IPR000169	Cysteine peptidase, cysteine active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	2
IPR000170	High potential iron-sulphur protein	6	10	7	0	0	0	1	73	6	117	9	0	17	37	11	7	2	2	4	3	0	6	5	4	5	10
