#SampleID	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
sk__Archaea	98	0	75	1	725	1	1356	4	150	9	100	1709	5	0	0	0	0	0	17	14	0	15	0	25	0	0
sk__Archaea;k__;p__Candidatus_Aenigmarchaeota	0	0	0	0	2	0	4	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Aenigmarchaeota;c__;o__;f__;g__;s__Candidatus_Aenigmarchaeota_archaeon_SCGC_AAA011-F07	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Altiarchaeota;c__;o__Candidatus_Altiarchaeales	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Bathyarchaeota	2	0	1	0	46	0	60	0	1	0	0	108	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sk__Archaea;k__;p__Candidatus_Bathyarchaeota;c__;o__;f__;g__;s__Candidatus_Bathyarchaeota_archaeon_JdFR-08	0	0	1	0	5	0	4	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites	11	0	7	1	61	0	88	0	14	1	13	135	0	0	0	0	0	0	2	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__;s__Candidatus_Diapherotrites_archaeon_ADurb.Bin253	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__;s__Diapherotrites_archaeon_SCGC_AAA011-K09	0	0	1	0	1	0	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__Candidatus_Iainarchaeum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites;c__;o__;f__;g__Candidatus_Iainarchaeum;s__Candidatus_Iainarchaeum_andersonii	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Geothermarchaeota	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Heimdallarchaeota	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Hydrothermarchaeota	0	0	0	0	4	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Micrarchaeota	1	0	2	0	21	0	29	0	2	0	3	48	0	0	0	0	0	0	1	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Micrarchaeota;c__;o__;f__;g__;s__Candidatus_Micrarchaeota_archaeon_CG1_02_51_15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Micrarchaeota;c__;o__;f__;g__;s__Candidatus_Micrarchaeota_archaeon_CG1_02_55_41	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Parvarchaeota	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Verstraetearchaeota;c__Candidatus_Methanomethylia;o__Candidatus_Methanomethyliales	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Woesearchaeota	0	0	0	0	3	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Crenarchaeota	0	0	1	0	77	0	98	0	3	0	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Crenarchaeota;c__Thermoprotei;o__Acidilobales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
