GO	description	category	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
GO:0000001	mitochondrion inheritance	biological process	0	0	0	0	0	3	0	0	0	0	2	0	2	0	1	0	1	1	1	2	0	0	2	2
GO:0000002	mitochondrial genome maintenance	biological process	0	9	7	0	2	7	4	9	1	2	8	0	4	0	15	10	0	0	0	5	0	4	11	1
GO:0000012	single strand break repair	biological process	0	3	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2	1	2	1	1
GO:0000015	phosphopyruvate hydratase complex	cellular component	477	384	500	188	226	232	301	398	294	206	189	339	401	576	203	432	152	341	319	520	290	349	270	292
GO:0000030	mannosyltransferase activity	molecular function	189	200	57	67	39	129	181	198	140	37	121	155	154	219	70	42	58	73	92	159	67	179	58	91
GO:0000041	transition metal ion transport	biological process	125	217	839	110	85	101	253	232	164	81	74	141	232	170	67	740	107	514	427	312	258	251	66	293
GO:0000042	protein targeting to Golgi	biological process	6	12	3	4	3	2	4	9	0	2	2	3	5	6	0	5	2	0	1	7	8	4	5	3
GO:0000045	autophagosome assembly	biological process	0	3	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0
GO:0000049	tRNA binding	molecular function	7079	5209	4247	2445	2630	3326	4615	5549	3892	2302	3121	4430	5887	7610	2822	3987	2232	4506	4210	6476	3640	5021	3074	3973
GO:0000062	fatty-acyl-CoA binding	molecular function	124	172	75	130	81	138	136	199	117	76	147	121	159	122	62	63	99	224	213	174	316	133	77	325
GO:0000070	mitotic sister chromatid segregation	biological process	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000077	DNA damage checkpoint	biological process	2	2	3	0	2	0	1	1	1	3	0	1	1	2	1	1	0	0	1	1	1	1	0	0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	3	9	34	11	4	3	17	13	9	8	5	11	25	9	7	38	15	12	11	19	45	34	8	55
GO:0000104	succinate dehydrogenase activity	molecular function	91	170	640	120	144	149	129	205	119	127	128	148	310	111	70	565	117	433	365	367	223	157	70	255
GO:0000105	histidine biosynthetic process	biological process	5216	7396	11455	4399	3875	5533	5931	7879	5395	3603	5025	5951	10177	5585	3085	10628	4092	11658	10653	11266	8048	6430	3378	8852
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological process	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000123	histone acetyltransferase complex	cellular component	6	7	6	16	52	3	14	11	13	23	4	25	3	0	4	0	15	7	5	14	4	12	3	6
GO:0000124	SAGA complex	cellular component	0	0	2	0	0	0	1	0	1	0	0	0	3	0	0	2	1	1	1	2	3	7	0	5
GO:0000128	flocculation	biological process	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
GO:0000139	Golgi membrane	cellular component	2	12	5	6	8	2	3	7	1	6	2	5	6	2	2	4	2	6	5	10	1	5	5	5
GO:0000145	exocyst	cellular component	1	4	3	1	3	4	0	5	0	3	2	0	2	1	2	4	1	1	1	5	1	0	0	4
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	1	5	1	3	2	3	3	3	1	2	0	0	8	3	4	1	0	3	1	6	3	7	3	4
GO:0000150	recombinase activity	molecular function	6875	7777	19253	7057	8670	5937	8559	8418	7202	7831	5284	8140	6117	7481	4836	17493	6507	8738	7853	7088	9994	9303	5330	11031
GO:0000151	ubiquitin ligase complex	cellular component	1	12	11	3	6	2	5	6	7	3	6	5	14	1	3	10	3	4	3	12	15	6	6	13
GO:0000154	rRNA modification	biological process	343	255	235	109	131	172	212	281	184	120	145	207	257	388	143	176	105	206	191	330	177	218	153	232
GO:0000155	phosphorelay sensor kinase activity	molecular function	8062	10459	14485	5610	6043	8453	8123	10993	7815	5326	7484	8545	19710	8714	4439	13234	5162	18232	16077	22097	10456	9034	4849	11396
GO:0000156	phosphorelay response regulator activity	molecular function	995	1310	534	779	863	1012	950	1383	1277	746	915	1397	3275	1043	618	481	739	2405	2217	3687	1461	989	690	1573
GO:0000159	protein phosphatase type 2A complex	cellular component	8	52	49	30	15	14	73	59	11	14	12	17	45	5	16	51	27	35	34	56	136	75	11	140
