IPR	description	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
IPR000001	Kringle	0	2	1	2	0	1	3	2	0	0	0	0	0	1	2	0	1	4	1	1	0	2	2	0
IPR000003	Retinoid X receptor/HNF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR000007	Tubby, C-terminal	6	30	26	22	15	7	45	22	8	6	7	12	31	11	17	18	14	35	32	32	91	46	13	112
IPR000008	C2 domain	37	142	118	134	66	51	174	132	71	60	56	87	197	34	75	127	129	159	135	230	363	201	82	420
IPR000009	Protein phosphatase 2A regulatory subunit PR55	2	5	2	14	1	6	16	6	0	2	7	2	4	1	4	1	10	12	12	12	42	17	0	42
IPR000010	Cystatin domain	2	2	5	4	2	1	5	2	2	0	0	6	10	4	1	8	1	2	4	11	10	7	0	19
IPR000014	PAS domain	4543	4843	9624	2913	3867	4894	4372	5288	5305	3424	4307	5924	13075	5232	2573	8500	2723	14745	13346	15027	5552	4843	2887	6306
IPR000015	Outer membrane usher protein	44	98	30	378	44	50	39	91	26	30	49	26	25	52	40	31	363	98	94	33	88	46	39	74
IPR000020	Anaphylatoxin/fibulin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR000021	Hok/gef cell toxic protein	0	2	0	15	0	2	0	0	0	0	2	0	0	4	1	2	9	1	0	0	0	0	2	0
IPR000023	Phosphofructokinase domain	891	1072	1736	667	637	898	801	1125	781	560	820	884	1544	1031	520	1620	614	1659	1518	1750	904	897	623	1003
IPR000026	Guanine-specific ribonuclease N1/T1/U2	100	90	49	76	63	105	93	122	84	41	95	91	270	120	50	47	50	226	202	300	162	106	48	183
IPR000028	Chloroperoxidase	3	1	1	2	1	1	1	1	1	1	0	3	4	2	0	0	1	0	0	2	4	2	0	0
IPR000030	PPE family	0	2	3	0	13	2	0	2	22	8	1	24	2	0	3	4	0	0	0	3	1	0	5	0
IPR000031	PurE domain	1051	1165	1459	656	595	846	844	1254	923	567	762	941	1582	1094	536	1337	635	1497	1416	1783	1084	981	584	1175
IPR000032	Phosphocarrier protein HPr-like	289	496	629	338	279	313	405	549	311	237	291	349	598	343	186	661	342	806	793	635	560	452	191	573
IPR000033	LDLR class B repeat	7	17	4	5	6	7	3	12	7	4	2	11	13	11	4	4	5	2	2	22	3	3	8	7
IPR000034	Laminin IV	3	4	7	3	1	2	3	5	2	0	4	3	15	1	5	2	3	1	1	23	1	4	5	1
IPR000035	Alkylbase DNA glycosidase, conserved site	8	13	4	8	6	12	11	9	4	5	15	11	28	11	14	2	9	3	9	30	7	16	13	15
IPR000036	Peptidase A26, omptin	2	5	1	4	0	5	1	9	2	2	5	2	2	4	3	1	5	4	5	2	6	3	3	8
IPR000037	SsrA-binding protein	2663	1774	1469	829	913	1121	1656	1860	1439	833	1079	1490	1923	2808	1034	1329	783	1241	1166	2178	1237	1901	1102	1401
IPR000040	Acute myeloid leukemia 1 protein (AML1)/Runt	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
IPR000043	Adenosylhomocysteinase-like	1550	2171	2868	860	1030	1341	1495	2275	1344	970	1229	1493	2632	1701	791	2769	834	2583	2398	2930	2092	1576	793	2249
IPR000045	Prepilin type IV endopeptidase, peptidase domain	479	505	705	264	253	339	419	534	364	253	260	392	671	599	214	672	245	680	597	727	399	469	263	480
IPR000047	Helix-turn-helix motif	0	0	0	3	1	0	0	1	0	0	0	0	2	1	0	0	1	1	1	0	0	0	4	0
IPR000048	IQ motif, EF-hand binding site	15	64	26	21	18	13	32	46	19	15	14	17	48	28	24	29	27	38	22	48	83	42	24	68
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site	64	122	522	85	116	121	104	151	111	77	98	112	266	83	61	509	59	306	305	270	151	132	50	181
IPR000052	Potex/carlavirus coat protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IPR000054	Ribosomal protein L31e	4	8	18	6	3	15	13	7	6	7	11	10	3	4	3	13	8	8	10	8	29	17	2	27
IPR000055	Restriction endonuclease, type I, HsdS	672	902	1169	513	478	552	717	921	555	431	455	639	850	779	326	1038	491	756	688	947	1039	848	415	1122
IPR000056	Ribulose-phosphate 3-epimerase-like	1696	1654	2099	933	819	1312	1396	1781	1181	735	1166	1301	2107	1779	790	1983	895	2030	1899	2373	1535	1519	867	1645
IPR000058	Zinc finger, AN1-type	13	58	23	53	44	22	34	59	16	37	20	14	18	11	5	27	38	5	12	32	37	48	11	54
IPR000059	NUDIX hydrolase, NudL, conserved site	7	2	146	7	19	5	7	6	12	25	0	20	18	6	8	130	3	9	8	11	7	6	0	3
IPR000060	BCCT transporter family	141	676	84	306	296	215	402	710	233	252	193	258	217	154	150	77	274	317	295	251	704	442	174	730
IPR000061	SWAP/Surp	1	2	2	3	2	5	6	4	0	4	4	1	8	0	2	3	5	7	4	4	6	10	3	9
IPR000064	Endopeptidase, NLPC/P60 domain	744	1030	1561	841	711	1028	898	1144	808	631	974	958	1105	791	578	1443	754	1378	1229	1207	1021	1042	634	1060
IPR000066	Antenna complex, alpha/beta subunit	17	24	21	20	6	47	31	33	12	9	56	23	83	16	9	11	20	21	6	74	35	36	20	29
IPR000067	Flagellar M-ring protein FliF	28	26	13	15	18	26	30	24	22	12	16	28	65	25	19	7	11	24	24	68	31	30	20	31
IPR000069	Envelope glycoprotein M, flavivirus	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1
IPR000070	Pectinesterase, catalytic	94	84	18	56	56	125	75	114	51	58	103	60	65	95	50	15	55	152	117	98	105	90	42	95
IPR000071	Immunodeficiency lentiviral matrix, N-terminal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000072	PDGF/VEGF domain	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR000073	Alpha/beta hydrolase fold-1	1650	2415	1934	1240	1374	1864	2060	2634	2082	1178	1610	2445	4090	1872	935	1795	1086	2386	2110	4883	2429	2368	1101	2677
IPR000077	Ribosomal protein L39e	0	2	2	0	1	2	1	0	5	0	0	0	0	0	0	3	0	0	0	2	5	1	1	2
IPR000079	High mobility group protein HMGN	0	0	0	0	1	0	1	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
IPR000082	SEA domain	1	2	0	0	1	3	1	0	0	2	0	0	0	3	2	0	1	0	0	1	0	1	1	1
IPR000083	Fibronectin, type I	1	0	8	0	0	4	0	0	0	0	1	0	0	0	1	8	0	0	0	0	3	0	0	9
