#SampleID	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
sk__Archaea	63.0	17.0	0	6.0	2.0	0	10.0	18.0	25.0	3.0	1.0	21.0	4.0	87.0	16.0	1.0	8.0	0	1.0	2.0	2.0	8.0	16.0	6.0
sk__Archaea;k__;p__;c__;o__;f__;g__;s__archaeon_GW2011_AR18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0
sk__Archaea;k__;p__Candidatus_Woesearchaeota	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota	5.0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	1.0	2.0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_formicicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp._SMA-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	5.0	1.0	0	1.0	1.0	1.0	0	1.0	3.0	0	1.0	3.0	3.0	4.0	2.0	1.0	1.0	5.0	4.0	3.0	4.0	0	2.0	2.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanococci;o__Methanococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia	0	0	1.0	0	0	1.0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	1.0	0	4.0	1.0	0	5.0	0	0	4.0	0	4.0	5.0	3.0	0	0	3.0	1.0	3.0	1.0	1.0	17.0	0	0	13.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__Methanomicrobiales_archaeon_Methan_06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	4.0	0	0	5.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum_bavaricum	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	3.0	0	1.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus	0	0	2.0	4.0	0	7.0	0	0	1.0	0	6.0	1.0	0	0	0	2.0	3.0	3.0	3.0	1.0	3.0	0	0	4.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_bourgensis	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	2.0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__Methanoregulaceae_archaeon_PtaU1.Bin059	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	5.0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula	4.0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	2.0	0	4.0	0	2.0	0	0	2.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula_formicica	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula_sp._PtaB.Bin085	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	3.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_hungatei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	6.0	0	0	3.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	1.0	0	6.0	5.0	0	6.0	2.0	0	0	0	10.0	0	4.0	0	3.0	5.0	6.0	2.0	2.0	5.0	6.0	1.0	3.0	10.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__;g__;s__Methanosarcinales_archaeon_Methan_04	0	0	0	0	0	4.0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	1.0	2.0	0	0	1.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae	1.0	0	7.0	3.0	0	14.0	0	0	0	0	13.0	0	2.0	1.0	2.0	7.0	0	0	0	1.0	15.0	1.0	2.0	14.0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanosaeta_sp._PtaB.Bin018	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	0	3.0	1.0	2.0	0	0	2.0	3.0	0	0	0	0	2.0	0	1.0	2.0	1.0	0	0	2.0	6.0	1.0	2.0	5.0
sk__Archaea;k__;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__;g__;s__Methanomassiliicoccales_archaeon_RumEn_M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	2.0	0	2.0	1.0
sk__Archaea;k__;p__Thaumarchaeota	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria	5384.0	2987.0	2997.0	1100.0	996.0	1386.0	2790.0	3217.0	2422.0	966.0	1289.0	2648.0	2300.0	5916.0	1981.0	2849.0	1024.0	1384.0	1357.0	2638.0	1975.0	3024.0	2030.0	2128.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__BRC1_bacterium_SCGC_AAA257-C11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Microgenomates_group_bacterium_ADurb.Bin238	0	0	0	1.0	0	1.0	1.0	0	1.0	0	1.0	3.0	1.0	0	2.0	0	0	0	0	1.0	5.0	1.0	2.0	4.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Microgenomates_group_bacterium_GW2011_GWA2_46_16	2.0	1.0	0	0	0	0	0	3.0	0	0	1.0	0	3.0	2.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Microgenomates_group_bacterium_GW2011_GWC1_46_16	3.0	0	0	0	0	0	0	0	1.0	0	0	3.0	2.0	1.0	1.0	0	1.0	0	0	2.0	0	2.0	1.0	1.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Microgenomates_group_bacterium_GW2011_GWE1_47_12	4.0	1.0	1.0	0	1.0	0	0	0	4.0	1.0	0	4.0	2.0	4.0	1.0	0	0	0	0	2.0	0	1.0	3.0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin016	0	0	11.0	0	0	1.0	10.0	0	10.0	0	1.0	14.0	1.0	0	3.0	10.0	0	25.0	15.0	0	7.0	8.0	1.0	6.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin192	15.0	10.0	4.0	0	4.0	0	2.0	5.0	3.0	6.0	0	7.0	3.0	9.0	1.0	3.0	0	0	0	2.0	6.0	1.0	2.0	5.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin216	0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	2.0	0	3.0	1.0	0	4.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin326	0	3.0	0	2.0	1.0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWC2_42_12	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWF2_44_8	58.0	11.0	4.0	18.0	1.0	3.0	12.0	19.0	3.0	3.0	2.0	3.0	18.0	60.0	6.0	3.0	11.0	5.0	1.0	23.0	13.0	17.0	4.0	16.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_SCN_62-11	9.0	0	0	1.0	0	7.0	9.0	0	2.0	0	7.0	0	3.0	5.0	1.0	0	0	3.0	3.0	5.0	5.0	10.0	1.0	3.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YEK0313	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_SR1_bacterium_MGEHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	3.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_TM6_bacterium_GW2011_GWE2_41_16	0	2.0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_TM6_bacterium_GW2011_GWE2_42_60	0	0	0	2.0	0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
